Categoria;Tipo;Modelo;Servicio;Precio;Imagen;TipoServicio;ManoDeObra
iPhone;iPhone 17;iPhone 17 Pro Max;SWAP;977;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Pantalla;511;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Cristal trasero;191;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Cristal trasero (Si se repara junto a pantalla);96;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Carcasa;401;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Placa Lógica;Consultar con el técnico;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Batería;145;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Cámara trasera;288;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;TrueDepth (Cámara frontal);218;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Altavoz superior;138;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Altavoz inferior;138;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Micrófono;Consultar con el técnico;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Taptic Engine (Vibrador);Consultar con el técnico;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Bandeja SIM;15;17promax.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro Max;Otros daños (SWAP);99;17promax.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro Max;Pantalla;29;17promax.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro Max;Cristal trasero;29;17promax.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro Max;Batería;0;17promax.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro;SWAP;921;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Pantalla;427;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Cristal trasero;191;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Cristal trasero (Si se repara junto a pantalla);94;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Carcasa;397;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Placa Lógica;Consultar con el técnico;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Batería;145;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Cámara trasera;288;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;TrueDepth (Cámara frontal);138;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Altavoz superior;138;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Altavoz inferior;138;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Micrófono;Consultar con el técnico;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Taptic Engine (Vibrador);Consultar con el técnico;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Bandeja SIM;15;17pro.png;Normal;
iPhone;iPhone 17;iPhone 17 Pro;Otros daños (SWAP);99;17pro.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro;Pantalla;29;17pro.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro;Cristal trasero;29;17pro.png;AppleCare;
iPhone;iPhone 17;iPhone 17 Pro;Batería;0;17pro.png;AppleCare;
iPhone;iPhone 17;iPhone 17;SWAP;751;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Pantalla;427;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Cristal trasero;191;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Cristal trasero (Si se repara junto a pantalla);94;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Carcasa;357;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Placa Lógica;Consultar con el técnico;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Batería;119;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Cámara trasera;212;17.png;Normal;
iPhone;iPhone 17;iPhone 17;TrueDepth (cámara frontal);218;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Altavoz superior;138;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Altavoz inferior;138;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Micrófono;Consultar con el técnico;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Taptic Engine (Vibrador);Consultar con el técnico;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Bandeja SIM;15;17.png;Normal;
iPhone;iPhone 17;iPhone 17;Otros daños (SWAP);99;17.png;AppleCare;
iPhone;iPhone 17;iPhone 17;Pantalla;29;17.png;AppleCare;
iPhone;iPhone 17;iPhone 17;Cristal trasero;29;17.png;AppleCare;
iPhone;iPhone 17;iPhone 17;Batería;0;17.png;AppleCare;
iPhone;iPhone 17;iPhone 17e;SWAP;541;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Pantalla;291;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Cristal trasero;191;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Cristal trasero (Si se repara junto a pantalla);96;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Batería;119;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Cámara trasera;174;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;TrueDepth (Cámara frontal);218;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Altavoz superior;138;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Altavoz inferior;138;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Micrófono;Consultar con el técnico;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Taptic Engine (Vibrador);Consultar con el técnico;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Bandeja SIM;15;17e.png;Normal;
iPhone;iPhone 17;iPhone 17e;Otros daños (SWAP);99;17e.png;AppleCare;
iPhone;iPhone 17;iPhone 17e;Pantalla;29;17e.png;AppleCare;
iPhone;iPhone 17;iPhone 17e;Cristal trasero;29;17e.png;AppleCare;
iPhone;iPhone 17;iPhone 17e;Batería;0;17e.png;AppleCare;
iPhone;iPhone Air;iPhone Air;SWAP;881;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Pantalla;427;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Cristal trasero;191;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Cristal trasero (Si se repara junto a pantalla);94;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Carcasa;397;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Batería;145;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Cámara trasera;212;air.png;Normal;
iPhone;iPhone Air;iPhone Air;TrueDepth (Cámara frontal);218;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Altavoz superior;138;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Altavoz inferior;138;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Micrófono;Consultar con el técnico;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Taptic Engine (Vibrador);Consultar con el técnico;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Bandeja SIM;15;air.png;Normal;
iPhone;iPhone Air;iPhone Air;Otros daños (SWAP);99;air.png;AppleCare;
iPhone;iPhone Air;iPhone Air;Pantalla;29;air.png;AppleCare;
iPhone;iPhone Air;iPhone Air;Cristal trasero;29;air.png;AppleCare;
iPhone;iPhone Air;iPhone Air;Batería;0;air.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro Max;SWAP;921;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Pantalla;511;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Cristal trasero;191;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Cristal trasero (Si se repara junto a pantalla);94;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Carcasa (Incluye placa lógica);649;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Batería;145;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Cámara trasera;288;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;TrueDepth (Cámara frontal);218;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Altavoz superior;138;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Altavoz inferior;138;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Micrófono;Consultar con el técnico;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Taptic Engine (Vibrador);Consultar con el técnico;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Bandeja SIM;15;16promax.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro Max;Otros daños (SWAP);99;16promax.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro Max;Pantalla;29;16promax.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro Max;Cristal trasero;29;16promax.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro Max;Batería;0;16promax.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro;SWAP;821;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Pantalla;427;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Cristal trasero;191;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Cristal trasero (Si se repara junto a pantalla);94;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Carcasa (Incluye placa lógica);581;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Batería;145;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Cámara trasera;288;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;TrueDepth (Cámara frontal);218;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Altavoz superior;138;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Altavoz inferior;138;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Micrófono;Consultar con el técnico;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Taptic Engine (Vibrador);Consultar con el técnico;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Bandeja SIM;15;16pro.png;Normal;
iPhone;iPhone 16;iPhone 16 Pro;Otros daños (SWAP);99;16pro.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro;Pantalla;29;16pro.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro;Cristal trasero;29;16pro.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Pro;Batería;0;16pro.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Plus;SWAP;751;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Pantalla;427;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Cristal trasero;191;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Cristal trasero (Si se repara junto a pantalla);96;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Carcasa (Incluye placa lógica);518;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Batería;119;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Cámara trasera;212;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;TrueDepth (Cámara frontal);218;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Altavoz superior;138;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Altavoz inferior;138;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Micrófono;Consultar con el técnico;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Taptic Engine (Vibrador);Consultar con el técnico;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Bandeja SIM;15;16plus.png;Normal;
iPhone;iPhone 16;iPhone 16 Plus;Otros daños (SWAP);99;16plus.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Plus;Pantalla;29;16plus.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Plus;Cristal trasero;29;16plus.png;AppleCare;
iPhone;iPhone 16;iPhone 16 Plus;Batería;0;16plus.png;AppleCare;
iPhone;iPhone 16;iPhone 16;SWAP;681;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Pantalla;361;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Cristal trasero;191;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Cristal trasero (Si se repara junto a pantalla);96;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Carcasa (Incluye placa lógica);452;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Batería;119;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Cámara trasera;212;16.png;Normal;
iPhone;iPhone 16;iPhone 16;TrueDepth (Cámara frontal);218;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Altavoz superior;138;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Altavoz inferior;138;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Micrófono;Consultar con el técnico;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Taptic Engine (Vibrador);Consultar con el técnico;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Bandeja SIM;15;16.png;Normal;
iPhone;iPhone 16;iPhone 16;Otros daños (SWAP);99;16.png;AppleCare;
iPhone;iPhone 16;iPhone 16;Pantalla;29;16.png;AppleCare;
iPhone;iPhone 16;iPhone 16;Cristal trasero;29;16.png;AppleCare;
iPhone;iPhone 16;iPhone 16;Batería;0;16.png;AppleCare;
iPhone;iPhone 16;iPhone 16e;SWAP;541;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Pantalla;291;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Cristal trasero;191;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Cristal trasero (Si se repara junto a pantalla);96;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Carcasa (Incluye placa lógica);434;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Batería;119;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;Cámara trasera;174;16e.png;Normal;
iPhone;iPhone 16;iPhone 16e;TrueDepth (Cámara frontal);218;16e.png;Normal;
